Index,gdp,def,hrs,del,spr
1985 Q1,31428,4.8,104.082,4.61,0.9884
1985 Q2,31649,2.3,104.169,4.92,1.1835
1985 Q3,32058,2.6,103.952,4.91,1.1918
1985 Q4,32218,2.2,103.755,4.77,1.37766666666667
1986 Q1,32453,2,103.524,4.86,1.7479
1986 Q2,32533,1.5,102.948,4.74,1.88666666666667
1986 Q3,32779,1.9,102.658,4.75,2.12006666666667
1986 Q4,32870,2.4,102.793,4.66,2.014
1987 Q1,33036,2.4,103.3,5.52,1.9196
1987 Q2,33336,2.6,103.156,5.38,1.6975
1987 Q3,33556,3,103.112,5.25,1.6926
1987 Q4,34025,3.2,103.302,5.25,1.51483333333333
1988 Q1,34148,3.1,102.683,5.06,1.64476666666667
1988 Q2,34528,4,102.957,4.98,1.46833333333333
1988 Q3,34637,4.9,102.79,5.02,1.39533333333333
1988 Q4,35008,3.5,103.17,4.62,1.46576666666667
1989 Q1,35291,4.1,103.339,4.88,1.3802
1989 Q2,35488,4.3,103.443,4.95,1.6545
1989 Q3,35654,3,103.611,5.01,1.60323333333333
1989 Q4,35633,2.7,103.216,4.9,1.3749
1990 Q1,35941,4.5,102.899,4.99,1.2445
1990 Q2,35968,4.2,102.311,5.05,0.947166666666667
1990 Q3,35850,3.7,101.918,5.34,0.911333333333333
1990 Q4,35419,3.1,101.826,5.95,1.2843
1991 Q1,35145,4,101.495,6.1,1.2168
1991 Q2,35305,2.7,101.339,6.16,1.14026666666667
1991 Q3,35348,2.9,101.48,5.96,1.19306666666667
1991 Q4,35381,2.1,101.487,5.79,1.20973333333333
1992 Q1,35694,1.8,101.489,5.51,1.05743333333333
1992 Q2,35968,2.6,101.787,5.39,1.00876666666667
1992 Q3,36184,1.9,101.752,5.18,1.1592
1992 Q4,36420,2.8,101.961,4.82,1.22093333333333
1993 Q1,36381,2.4,102.025,4.49,1.27083333333333
1993 Q2,36486,2.4,102.379,4.18,1.2421
1993 Q3,36539,2.1,102.402,3.83,1.2267
1993 Q4,36909,2.3,102.486,3.35,1.17126666666667
1994 Q1,37171,2.1,102.151,3.14,1.0579
1994 Q2,37569,2,102.853,2.84,1.1041
1994 Q3,37669,2,102.912,2.63,1.0646
1994 Q4,37980,2.3,102.924,2.49,1.10756666666667
1995 Q1,38008,2.4,102.737,2.51,1.13546666666667
1995 Q2,38033,1.8,102.304,2.48,1.16436666666667
1995 Q3,38235,1.7,102.826,2.48,1.14536666666667
1995 Q4,38389,1.9,102.615,2.45,1.2613
1996 Q1,38544,2.1,101.746,2.4,1.20843333333333
1996 Q2,39106,1.5,101.909,2.44,1.10376666666667
1996 Q3,39340,1.8,102.059,2.41,1.08823333333333
1996 Q4,39629,1.7,102.361,2.37,1.1218
1997 Q1,39825,2,102.669,2.34,1.07366666666667
1997 Q2,40311,1.9,102.707,2.28,1.0418
1997 Q3,40689,1.2,102.837,2.22,1.0615
1997 Q4,40877,1.4,102.684,2.23,1.20036666666667
1998 Q1,41176,0.6,102.702,2.22,1.26723333333333
1998 Q2,41461,0.9,102.474,2.17,1.16223333333333
1998 Q3,41873,1.5,102.19,2.17,1.7393
1998 Q4,42432,1.1,103.118,2.18,1.9473
1999 Q1,42663,1.5,102.941,2.16,1.6568
1999 Q2,42897,1.7,102.995,2.14,1.6005
1999 Q3,43299,1.4,103.106,2.19,1.9233
1999 Q4,43919,2,103.008,2.04,1.90383333333333
2000 Q1,43935,3,102.715,2.06,2.11056666666667
2000 Q2,44654,2.2,102.475,2.13,2.6962
