,date,nom.GDP,Cons.,Inv.,Hours,Wages,CPI,M0,FFR
1,1970,158150,263375,56775,58.882,74.521,21.947,52820,8.98
2,1970.25,160625,267525,57575,58.209,74.646,22.19,52943,8.1
3,1970.5,163625,272125,58525,57.908,75.178,22.406,54771,7.21
4,1970.75,165300,272875,56950,56.988,75.078,22.696,55151,6.2
5,1971,170050,284450,61875,57.345,75.84,22.911,56280,4.14
6,1971.25,173575,289850,63925,57.73,76.25,23.172,56800,4.15
7,1971.5,176675,295075,65325,57.94,76.412,23.399,58932,5.31
8,1971.75,180725,298400,64225,58.692,76.584,23.544,59275,5.2
9,1972,185025,308450,68225,59.865,77.189,23.792,60238,3.5
10,1972.25,189650,317525,71950,60.767,77.554,23.93,60728,4.17
11,1972.5,194275,323450,73050,61.39,77.779,24.141,62669,4.55
12,1972.75,200475,333000,75575,62.356,78.69,24.339,63373,5.04
13,1973,206625,345175,80150,63.379,78.996,24.635,65291,5.94
14,1973.25,210500,354400,83450,64.044,78.822,25.11,66060,7.12
15,1973.5,215125,359200,82250,64.396,78.95,25.569,68364,10.4
16,1973.75,218900,369775,86775,64.944,78.632,26.094,68912,10.01
17,1974,223450,373675,84825,64.951,77.785,26.87,70990,9.65
18,1974.25,230575,383550,88375,64.858,77.888,27.631,72192,10.51
19,1974.5,237775,390850,87275,64.66,77.97,28.376,74558,12.92
20,1974.75,240225,400750,90200,63.406,77.57,29.095,75686,10.06
21,1975,246775,404900,81850,61.07,77.89,29.641,77833,7.13
22,1975.25,253950,414100,80600,60.362,78.402,30.003,78515,5.49
23,1975.5,262400,428450,87650,61.195,78.248,30.564,81840,6.1
24,1975.75,269625,441475,91525,62.095,78.448,31.077,82362,5.82
25,1976,278075,456125,99375,63.442,78.985,31.422,84755,4.87
26,1976.25,283000,464225,102825,63.844,79.835,31.686,86533,4.82
27,1976.5,290325,472625,104250,64.272,80.278,32.167,89333,5.31
28,1976.75,298775,484600,106375,64.544,80.929,32.675,90244,5.02
29,1977,307650,498125,112950,65.42,80.438,33.265,92535,4.61
30,1977.25,314625,515050,120975,66.756,80.745,33.834,94235,4.73
31,1977.5,322425,530600,126950,67.457,81.341,34.345,97396,5.42
32,1977.75,331975,542175,128900,68.229,81.82,34.836,98837,6.47
33,1978,339450,552175,132100,68.346,83.214,35.415,102050,6.7
34,1978.25,353825,584150,143900,70.238,82.699,36.145,103241,6.89
35,1978.5,361550,599725,150525,71.059,82.724,36.781,107007,7.81
36,1978.75,371350,620550,157425,72.006,82.772,37.477,108850,8.96
37,1979,380250,632900,158925,72.677,83.184,38.181,112337,10.07
38,1979.25,390375,648975,164075,72.996,82.648,39.222,113426,10.01
39,1979.5,404000,667600,167750,73.558,82.169,40.194,117781,10.47
40,1979.75,414875,682675,169025,73.794,81.948,41.165,119934,13.77
41,1980,426625,699125,172600,73.628,81.486,42.398,123086,13.82
42,1980.25,427225,699975,163500,72.387,81.758,43.435,123850,17.61
43,1980.5,441925,715000,157350,71.927,81.875,44.449,128351,9.03
44,1980.75,458850,748375,172600,72.961,81.745,45.547,130887,12.81
45,1981,472675,782950,191450,73.537,81.508,46.675,133851,19.08
46,1981.25,480475,791825,188800,73.859,81.272,47.454,135031,15.72
47,1981.5,490300,815300,199500,74.047,81.235,48.231,138902,19.04
48,1981.75,494025,820875,198825,73.644,81.186,48.964,139203,15.08
